151,"Elf Petroleum Norge AS",1988-07-08
152,"Statoil Petroleum AS",2009-11-02
153,"GDF SUEZ E&P Norge AS",2010-11-25
"153 B","GDF SUEZ E&P Norge AS",2010-11-25
154,"Norsk Hydro Produksjon AS",1989-03-03
155,"A/S Norske Shell",1989-03-03
156,"Norsk Hydro Produksjon AS",2001-01-11
157,"Norsk Chevron AS",1998-02-09
158,"A/S Norske Shell",1999-12-10
159,"Statoil Petroleum AS",2009-11-02
"159 B","Statoil Petroleum AS",2009-11-02
"159 C","Statoil Petroleum AS",2009-11-02
"159 D","Statoil Petroleum AS",2009-11-02
160,"Mobil Development Norway AS",1989-03-03
161,"Norsk Hydro Produksjon AS",1989-03-03
162,"Den norske stats oljeselskap a.s",1989-03-03
163,"Saga Petroleum ASA",1991-03-01
164,"BP Petroleum Dev. of Norway AS",1991-03-01
165,"Esso Exploration and Production Norway A/S",1991-03-01
166,"RWE Dea Norge AS",1998-12-17
167,"Statoil Petroleum AS",2009-11-02
"167 B","Statoil Petroleum AS",2009-11-02
168,"Amerada Hess Norge AS",2001-05-09
169,"Statoil Petroleum AS",2009-11-02
"169 B1","Statoil Petroleum AS",2009-11-02
"169 B2","Statoil Petroleum AS",2009-11-02
"169 C","Det norske oljeselskap ASA",2009-12-22
"169 D","Statoil Petroleum AS",2010-02-19
"169 E","Statoil Petroleum AS",2011-11-04
170,"Norsk Hydro Produksjon AS",1991-03-01
171,"Norsk Hydro Produksjon AS",1991-03-01
"171 B","Statoil Petroleum AS",2009-11-02
172,"Mobil Development Norway AS",1991-03-01
173,"Den norske stats oljeselskap a.s",1991-03-01
174,"Norsk Hydro Produksjon AS",2000-01-11
175,"Den norske stats oljeselskap a.s",1991-03-01
176,"A/S Norske Shell",1991-03-01
177,"Den norske stats oljeselskap a.s",1991-03-01
178,"Esso Exploration and Production Norway A/S",1991-03-01
179,"Norsk Hydro Produksjon AS",1991-03-01
180,"Den norske stats oljeselskap a.s",1991-03-01
181,"Den norske stats oljeselskap a.s",1996-08-26
182,"Saga Petroleum ASA",1991-03-01
183,"A/S Norske Shell",1991-03-01
184,"Norsk Hydro Produksjon AS",1991-03-01
185,"Statoil Petroleum AS",2009-11-02
186,"Saga Petroleum ASA",1997-07-05
187,"Statoil Petroleum AS",2009-11-02
188,"Elf Petroleum Norge AS",1993-09-10
189,"ExxonMobil Exploration & Production Norway AS",2004-10-01
190,"Statoil Petroleum AS",2009-11-02
"190 B","Statoil Petroleum AS",2013-02-08
191,"Norsk Hydro Produksjon AS",1993-09-10
192,"Mobil Development Norway AS",1993-09-10
193,"Statoil Petroleum AS",2009-11-02
"193 B","Statoil Petroleum AS",2009-11-02
"193 C","Statoil Petroleum AS",2011-02-04
"193 D","Statoil Petroleum AS",2011-12-21
"193 E","Statoil Petroleum AS",2012-02-03
194,"Norsk Hydro Produksjon AS",1993-09-10
195,"Statoil Petroleum AS",2009-11-02
"195 B","Statoil Petroleum AS",2009-11-02
196,"No operator",2001-09-10
197,"Amerada Hess Norge AS",1996-06-01
198,"Den norske stats oljeselskap a.s",1993-09-10
199,"Statoil Petroleum AS",2009-11-02
200,"Statoil ASA (old)",2001-05-10
201,"Eni Norge AS",2003-12-31
202,"StatoilHydro ASA",2007-10-01
203,"Marathon Oil Norge AS",2011-07-04
"203 B","Marathon Oil Norge AS",2013-02-08
204,"Statoil ASA (old)",2001-05-10
205,"Phillips Petroleum Norsk AS",1996-02-02
206,"Mobil Development Norway AS",1996-02-02
207,"Esso Exploration and Production Norway A/S",1996-02-02
208,"DONG E&P Norge AS",2006-09-06
209,"Statoil Petroleum AS",2009-11-02
210,"BP Norge AS",2002-03-12
211,"Total E&P Norge AS",2006-02-24
"211 B","Total E&P Norge AS",2007-02-16
212,"BP Norge AS",2002-03-12
"212 B","BP Norge AS",2002-06-14
"212 C","Statoil Petroleum AS",2009-11-02
"212 D","Statoil Petroleum AS",2009-11-02
"212 E","BP Norge AS",2008-01-23
213,"Statoil Petroleum AS",2009-11-02
214,"A/S Norske Shell",1996-02-02
215,"Norsk Hydro Produksjon AS",2001-01-11
216,"BP Amoco Norge AS",1999-12-23
217,"Statoil ASA (old)",2001-05-10
218,"Statoil Petroleum AS",2009-11-02
"218 B","Statoil Petroleum AS",2011-05-13
219,"Statoil Petroleum AS",2009-11-02
220,"Statoil Petroleum AS",2009-11-02
221,"Norsk Hydro Produksjon AS",1997-05-30
222,"Norsk Hydro Produksjon AS",1997-05-30
223,"Norsk Hydro Produksjon AS",1997-05-30
224,"TotalFinaElf Exploration Norge AS",2000-07-24
225,"StatoilHydro Petroleum AS",2007-10-01
226,"Statoil Petroleum AS",2009-11-02
"226 B","Statoil Petroleum AS",2011-05-13
227,"Statoil Petroleum AS",2009-11-02
228,"Statoil Petroleum AS",2009-11-02
229,"Eni Norge AS",2003-12-31
"229 B","Eni Norge AS",2007-04-27
"229 C","Eni Norge AS",2008-02-29
230,"Statoil Petroleum AS",2009-11-02
231,"StatoilHydro Petroleum AS",2009-01-01
232,"StatoilHydro Petroleum AS",2009-01-01
233,"Statoil ASA (old)",2001-05-10
234,"Statoil ASA (old)",2001-05-10
235,"Statoil ASA (old)",2001-05-10
236,"Statoil ASA (old)",2001-05-10
237,"Statoil Petroleum AS",2009-11-02
238,"Norsk Agip  AS",1999-06-04
239,"DONG Norge AS",2003-11-27
240,"BP Norge AS",2002-03-12
241,"ExxonMobil Exploration & Production Norway AS",2004-10-01
242,"Det norske oljeselskap ASA",2009-12-22
243,"BP Norge AS",2002-03-12
244,"Norsk Hydro Produksjon AS",1999-06-04
245,"Statoil ASA (old)",2001-05-10
246,"A/S Norske Shell",1999-06-04
247,"Norsk Hydro Produksjon AS",1999-06-04
248,"Statoil Petroleum AS",2009-11-02
"248 B","Statoil Petroleum AS",2009-11-02
"248 C","Statoil Petroleum AS",2013-04-09
249,"Centrica Resources (Norge) AS",2012-04-30
250,"A/S Norske Shell",1999-10-22
251,"StatoilHydro ASA",2007-10-01
252,"Norsk Hydro Produksjon AS",2000-05-12
253,"StatoilHydro Petroleum AS",2007-10-01
254,"BP Norge AS",2002-03-12
255,"A/S Norske Shell",2000-05-12
256,"Det norske oljeselskap AS",2009-12-22
257,"Statoil Petroleum AS",2009-11-02
258,"Total E&P Norge AS",2003-05-06
259,"Eni Norge AS",2004-02-05
260,"BP Norge AS",2002-03-12
261,"BP Norge AS",2002-03-12
"261 BS","Chevron Norge AS",2005-09-17
262,"BP Norge AS",2002-03-12
263,"Statoil Petroleum AS",2009-11-02
"263 B","Statoil Petroleum AS",2009-11-02
"263 C","Statoil Petroleum AS",2009-11-02
264,"Eni Norge AS",2006-05-24
265,"Statoil Petroleum AS",2009-11-02
266,"Enterprise Oil Norge AS",2002-01-01
267,"Enterprise Oil Norge AS",2002-01-01
268,"Norske ConocoPhillips AS",2003-03-22
269,"Statoil Petroleum AS",2009-11-02
270,"VNG Norge AS",2009-10-01
271,"StatoilHydro Petroleum AS",2007-10-01
272,"Statoil Petroleum AS",2009-11-02
273,"ConocoPhillips Skandinavia AS",2003-05-06
274,"DONG E&P Norge AS",2006-09-06
"274 BS","BG Norge AS",2005-12-21
"274 CS","DONG E&P Norge AS",2008-02-29
275,"ConocoPhillips Skandinavia AS",2003-05-06
276,"Statoil ASA (old)",2002-03-15
277,"Statoil Petroleum AS",2009-11-02
"277 B","Statoil Petroleum AS",2009-11-02
278,"RWE Dea Norge AS",2002-03-15
279,"RWE Dea Norge AS",2002-03-15
280,"CNR International (UK) Limited",2003-03-08
"280 S","CNR International (Norway) AS",2004-05-10
281,"StatoilHydro Petroleum AS",2009-01-01
282,"A/S Norske Shell",2002-06-14
283,"Statoil Petroleum AS",2009-11-02
284,"ConocoPhillips Skandinavia AS",2003-05-06
285,"Eni Norge AS",2003-12-31
286,"StatoilHydro Petroleum AS",2007-10-01
287,"ExxonMobil Exploration & Production Norway AS",2004-10-01
288,"DONG Norge AS",2003-04-11
289,"DONG E&P Norge AS",2006-09-06
290,"RWE Dea Norge AS",2003-04-11
291,"Norsk Hydro Produksjon AS",2003-04-11
292,"BG Norge AS",2005-05-09
"292 B","BG Norge AS",2009-01-23
293,"Eni Norge AS",2003-12-31
"293 B","Eni Norge AS",2012-06-15
294,"Norsk Hydro Produksjon AS",2003-04-11
295,"ExxonMobil Exploration & Production Norway AS",2004-10-01
296,"Statoil Petroleum AS",2009-11-02
297,"BG Norge AS",2004-07-16
298,"Talisman Energy Norge AS",2006-11-16
299,"Talisman Energy Norge AS",2003-12-12
"299 B","Talisman Energy Norge AS",2009-01-16
300,"BP Norge AS",2003-12-12
301,"Lundin Norway AS",2009-07-24
"301 B","Talisman Energy Norge AS",2008-05-21
"301 CS","ConocoPhillips Skandinavia AS",2010-07-26
"301 D","Lundin Norway AS",2011-02-04
302,"StatoilHydro Petroleum AS",2007-10-01
303,"Statoil Petroleum AS",2009-11-02
"303 B","Statoil Petroleum AS",2011-05-27
304,"Lundin Norway AS",2006-10-02
305,"Det norske oljeselskap ASA (old)",2008-01-01
"305 B","Det norske oljeselskap ASA (old)",2008-01-01
306,"Norsk Hydro Produksjon AS",2003-12-12
307,"Marathon Petroleum Norge AS",2003-12-12
308,"StatoilHydro Petroleum AS",2007-10-01
309,"Statoil Petroleum AS",2009-11-02
"309 B","Statoil Petroleum AS",2011-02-04
"309 C","Statoil Petroleum AS",2011-10-06
310,"Norsk Hydro Produksjon AS",2003-12-12
311,"Marathon Petroleum Norge AS",2003-12-12
"311 B","Marathon Petroleum Norge AS",2004-12-17
312,"Statoil Petroleum AS",2009-11-02
"312 B","Statoil Petroleum AS",2010-02-19
313,"Statoil ASA (old)",2003-12-12
314,"Statoil ASA (old)",2003-12-12
315,"ExxonMobil Exploration & Production Norway AS",2004-10-01
316,"Talisman Energy Norge AS",2006-11-16
"316 B","Talisman Energy Norge AS",2007-02-16
"316 CS","Talisman Energy Norge AS",2007-08-23
"316 DS","Talisman Energy Norge AS",2007-08-23
317,"StatoilHydro Petroleum AS",2007-10-01
318,"Statoil Petroleum AS",2009-11-02
"318 B","Statoil Petroleum AS",2009-11-02
"318 C","Statoil Petroleum AS",2009-11-02
319,"Statoil ASA (old)",2004-06-18
320,"A/S Norske Shell",2004-06-18
321,"Det norske oljeselskap ASA",2009-12-22
"321 B","Det norske oljeselskap ASA",2009-12-22
322,"StatoilHydro ASA",2007-10-01
323,"Total E&P Norge AS",2004-06-18
324,"Eni Norge AS",2004-06-18
325,"Chevron Norge AS",2005-09-17
326,"A/S Norske Shell",2004-06-18
327,"Statoil Petroleum AS",2009-11-02
"327 B","Statoil Petroleum AS",2009-11-02
328,"Statoil Petroleum AS",2009-11-02
329,"Eni Norge AS",2004-06-18
330,"RWE Dea Norge AS",2004-06-18
"330 B","Hess Norge AS",2010-10-25
331,"ConocoPhillips Skandinavia AS",2004-12-17
"331 C","ConocoPhillips Skandinavia AS",2010-02-19
332,"Talisman Energy Norge AS",2004-12-17
333,"Statoil Petroleum AS",2009-11-02
334,"Talisman Energy Norge AS",2004-12-17
335,"BG Norge AS",2004-12-17
336,"Talisman Energy Norge AS",2004-12-17
337,"Det norske oljeselskap ASA",2009-12-22
338,"Lundin Norway AS",2004-12-17
339,"Statoil Petroleum AS",2009-11-02
340,"Marathon Oil Norge AS",2011-07-04
"340 BS","Marathon Oil Norge AS",2011-07-04
341,"Det norske oljeselskap ASA",2009-12-22
342,"Norsk Hydro Produksjon AS",2004-12-17
343,"Marathon Petroleum Norge AS",2004-12-17
344,"Spring Energy Norway AS",2010-09-30
"344 B","Spring Energy Norway AS",2010-09-30
345,"StatoilHydro ASA",2007-10-01
346,"A/S Norske Shell",2004-12-17
347,"StatoilHydro Petroleum AS",2007-10-01
348,"Statoil Petroleum AS",2009-11-02
"348 B","Statoil Petroleum AS",2011-02-04
349,"Marathon Petroleum Norge AS",2004-12-17
350,"E.ON E&P Norge AS",2012-02-11
"350 B","E.ON E&P Norge AS",2012-02-11
351,"StatoilHydro ASA",2007-10-01
352,"StatoilHydro ASA",2007-10-01
353,"Norsk Hydro Produksjon AS",2004-12-17
354,"VNG Norge AS",2009-10-01
"354 B","VNG Norge AS",2009-10-01
355,"Statoil Petroleum AS",2009-11-02
356,"Det norske oljeselskap ASA",2009-12-22
357,"DONG E&P Norge AS",2006-09-06
358,"Statoil Petroleum AS",2009-11-02
359,"Lundin Norway AS",2006-01-06
360,"Statoil Petroleum AS",2009-11-02
"360 B","Statoil Petroleum AS",2011-02-04
361,"Talisman Energy Norge AS",2006-11-16
362,"Centrica Resources (Norge) AS",2012-04-30
363,"Lundin Norway AS",2006-01-06
364,"Det norske oljeselskap ASA",2009-12-22
365,"StatoilHydro Petroleum AS",2007-10-01
366,"StatoilHydro Petroleum AS",2007-10-01
"367 S","StatoilHydro Petroleum AS",2007-10-01
368,"Statoil ASA (old)",2006-01-06
369,"Det norske oljeselskap ASA",2009-12-17
370,"Wintershall Norge AS",2012-03-24
"370 B","Wintershall Norge AS",2012-03-24
"371 S","StatoilHydro Petroleum AS",2007-10-01
"372 BS","BG Norge AS",2006-04-28
"372 S","BG Norge AS",2006-01-06
"373 S","BG Norge AS",2006-01-06
"374 S","BG Norge AS",2006-01-06
375,"Suncor Energy Norge AS",2011-02-28
"375 B","Suncor Energy Norge AS",2011-02-28
"375 C","Suncor Energy Norge AS",2012-02-03
376,"Statoil Petroleum AS",2009-11-02
"377 BS","Idemitsu Petroleum Norge AS",2011-02-04
"377 S","Idemitsu Petroleum Norge AS",2006-01-06
378,"Wintershall Norge AS",2012-03-24
"378 B","Wintershall Norge AS",2012-03-24
379,"Total E&P Norge AS",2006-01-06
380,"Det norske oljeselskap ASA",2009-12-22
381,"A/S Norske Shell",2006-01-06
382,"BG Norge AS",2006-01-06
383,"Det norske oljeselskap ASA",2009-12-22
384,"DONG E&P Norge AS",2006-09-06
385,"Statoil Petroleum AS",2009-11-02
386,"Statoil Petroleum AS",2009-11-02
387,"Talisman Energy Norge AS",2006-04-28
388,"BG Norge AS",2006-04-28
389,"Total E&P Norge AS",2006-04-28
390,"BG Norge AS",2006-04-28
391,"BG Norge AS",2006-04-28
392,"A/S Norske Shell",2006-04-28
393,"Statoil Petroleum AS",2009-11-02
"393 B","Statoil Petroleum AS",2010-09-10
394,"Statoil Petroleum AS",2009-11-02
395,"Statoil Petroleum AS",2009-11-02
396,"Norwegian Energy Company ASA",2010-04-29
397,"Statoil Petroleum AS",2009-11-02
"398 S","Lundin Norway AS",2007-02-16
399,"ConocoPhillips Skandinavia AS",2007-02-16
400,"Lundin Norway AS",2007-02-16
401,"Statoil Petroleum AS",2009-11-02
402,"Talisman Energy Norge AS",2007-02-16
"402 B","Talisman Energy Norge AS",2009-01-23
403,"RWE Dea Norge AS",2007-02-16
404,"ConocoPhillips Skandinavia AS",2007-02-16
405,"Centrica Resources (Norge) AS",2007-02-16
"405 B","Centrica Resources (Norge) AS",2008-02-29
406,"Premier Oil Norge AS",2007-02-16
407,"BG Norge AS",2007-02-16
408,"Det norske oljeselskap ASA",2009-12-22
409,"Lundin Norway AS",2007-02-16
410,"Lundin Norway AS",2007-02-16
411,"Norwegian Energy Company ASA",2007-07-11
412,"Norwegian Energy Company ASA",2007-07-11
413,"Lundin Norway AS",2007-02-16
414,"Det norske oljeselskap ASA",2009-12-22
"414 B","Det norske oljeselskap ASA",2012-02-03
415,"StatoilHydro Petroleum AS",2007-10-01
416,"E.ON E&P Norge AS",2012-02-11
417,"Wintershall Norge ASA",2009-01-17
418,"Wintershall Norge AS",2012-03-24
419,"Nexen Exploration Norge AS",2007-02-16
420,"RWE Dea Norge AS",2007-02-16
421,"Petro-Canada Norge AS",2007-02-16
